year,mag,mag_err
2006.794,16.61,0.04
2006.8524,16.56,0.03
2006.8551,16.23,0.08
2006.8742,16.14,0.04
2006.88,16.16,0.03
2006.907,15.97,0.01
2006.9097,16.06,0.01
2006.915,16.09,0.02
2006.9234,16.13,0.05
2006.929,16.08,0.01
2006.9452,16.41,0.03
2006.9534,16.36,0.01
2006.9588,16.48,0.01
2006.9863,16.32,0.02
2006.9889,16.37,0.01
2006.9946,16.55,0.02
2007.027,16.43,0.04
2007.0386,16.62,0.02
2007.0442,16.6,0.03
2007.1228,16.6,0.01
2007.1315,16.36,0.02
2007.1339,16.21,0.05
2007.175,16.19,0.01
2007.1777,16.21,0.04
2007.1802,16.3,0.02
2007.1939,16.2,0.02
2007.1967,16.16,0.02
2010.8059,16.01,0.01
2011.1555,15.86,0.01
2017.8717,16.6,0.01
2017.9182,15.82,0.01
2018.0221,15.32,0.01
